created_at,screen_name,tweet_text,time_zone
Sun Apr 08 16:40:31 +0000 2018,nandy_off2,"RT @lionsdenkxip: In what should come as no surprise to anyone, @klrahul11 is awarded the Man of the Match award for his historic fastest",
Sun Apr 08 16:40:33 +0000 2018,Indiafirstt,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,Pacific Time (US & Canada)
Sun Apr 08 16:40:33 +0000 2018,PaytmFreeCash,"https://t.co/GBCBe5pfvx
#KXIPvDD",
Sun Apr 08 16:40:33 +0000 2018,Vijayy84,"RT @Sahabdeen1311: #KXIPvDD
# 
       
     

       ",
Sun Apr 08 16:40:36 +0000 2018,PawanDa60957139,"RT @Rajudashtn2: #KXIPvDD
#ipl11
#

  4  34 ,
    40  10       ",
Sun Apr 08 16:40:38 +0000 2018,PANARAMb,"RT @Megharamkhoth10: #KXIPvDD
# 
@WWE
@WWECesaro
@WWENXT
@WWERollins
@WWERomanReigns
@WWESheamus
@WWEUniverse
@WWEIndia
He who acts",
Sun Apr 08 16:40:39 +0000 2018,nandy_off2,"RT @lionsdenkxip: A consolidated effort by the team as Kings win the first game at Mohali this season. 

#KXIPvDD #LivePunjabiPlayPunjabi h",
Sun Apr 08 16:40:40 +0000 2018,Akshay02931139,"RT @jyoti_tewatia1: Who will win the 3rd Match ?

Retweet : #RCB
Favorite : #KKR

#IPL2018 #KKRvRCB 

#CSKvMI #CSKisTheBest #CSKvsMI #KXIPv",
Sun Apr 08 16:40:40 +0000 2018,charpaldas,"RT @AjayDas36118496: ##KXIPvDD
#
                ",
Sun Apr 08 16:40:40 +0000 2018,lakshya707,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:40:41 +0000 2018,Ajaybhardwajab,"RT @ShreyalSingh: #ManikaBatra        
      

    
#GC",
Sun Apr 08 16:40:41 +0000 2018,MaheshK52152268,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:40:42 +0000 2018,sankarambur1,This man is incorrigible. Needs to be kicked out of the country https://t.co/QoqanqjG1q,
Sun Apr 08 16:40:42 +0000 2018,GogaJaitpura,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:40:42 +0000 2018,danishashraf6,Was due for a big 100 https://t.co/NMzXCubvr5,
Sun Apr 08 16:40:43 +0000 2018,upmangoman,@sgurumurthy @rajeev_mp @RahulGandhi @kanimozhi @TimesNow @BJP4Karnataka @BJP4India @RSSorg @nsitharaman https://t.co/Mk0mhLrRzY,Chennai
Sun Apr 08 16:40:43 +0000 2018,SMITHMOGRA,"RT @ICC:  @klrahul11 


2

6
4
4
6
4
1
4
6
6
4
4

50 from 14 balls!
#KXIPvDD #IPL",
Sun Apr 08 16:40:44 +0000 2018,raokajal87,"RT @paramjeet07kaur: I travel, I read, I write, I have other lives. But when I have a camera, I know that's my country, my island.
What are",
Sun Apr 08 16:40:47 +0000 2018,sivakumar3787,"Dhoni Calls for Cavery protest
Watch here
https://t.co/JeeAaUKr0a
#Mersal
#MersalDiwali
#TSk
#Thala
#Thalapathy62 https://t.co/Ql0YR6ftah",Pacific Time (US & Canada)
Sun Apr 08 16:40:48 +0000 2018,Devendrakewat11,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:40:53 +0000 2018,Vijayy84,"RT @MarutiN27801889: #KXIPvDD
# 
  17   23,24             ",
Sun Apr 08 16:40:54 +0000 2018,UdhaarKiZindagi,"Sunil Narine ke Bat mai Spring hai.
#KKRvRCB #KXIPvDD",
Sun Apr 08 16:40:57 +0000 2018,amer_gardazi,Pakistani young man replied to Pakistani women those demanding extra fre... https://t.co/Yblnbt2uMV via @YouTube https://t.co/dp11j8gByP,
Sun Apr 08 16:40:58 +0000 2018,zakirhusain65,#FreeBalochistan #PashtunLongMarch2Peshawar #BaluchistanMonth #KXIPvDD #PTIRawalpindiCampaign #KKRvRCB https://t.co/70d4oDdVcd,Pacific Time (US & Canada)
Sun Apr 08 16:40:59 +0000 2018,Rahulbhuri,"RT @SirrrJadeja: RCB 176/7 Target For #KKHaar 177 
#KKHaar Ye Match Pakka Haaregi  
#KKRvRCB #KXIPvDD",
Sun Apr 08 16:40:59 +0000 2018,narendrap85,RT @HumorGyan: KXIP players won this match just to get hugs from Preity Zinta after winning. #KXIPvDD,
Sun Apr 08 16:40:59 +0000 2018,abhinandan1441,"RT @cricketdilseho: Pakistani admins need these replies!
While this reply need Retweets! 

Never ever try to troll Indians or else Porkista",Chennai
Sun Apr 08 16:41:03 +0000 2018,iRavikrishna,"RT @ICC:  @klrahul11 


2

6
4
4
6
4
1
4
6
6
4
4

50 from 14 balls!
#KXIPvDD #IPL",
Sun Apr 08 16:41:07 +0000 2018,IPL2K18LIVE,"Missed watching Rahul's Innings ? 

Watch here:  https://t.co/MphcwOINqi 

#KXIPvDD #KXIP #KXIPFanArmy #IPL #IPL2018 #IPL11",
Sun Apr 08 16:41:08 +0000 2018,PriyaAgrahari11,RT @SirJadeja: 36th #IPL Half Century For Gautam Gambhir. Gambhir Inning By The Captain. #IPL2018 #KXIPvDD #IPL11 https://t.co/ysPuwnGF,
Sun Apr 08 16:41:12 +0000 2018,ayushagarwalagr,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:41:17 +0000 2018,im_kumararyan12,"RT @virendersehwag: Rahul, naam toh suna hi hoga. Amazing hitting, and a 14 ball half century. Well begun boys #KXIPvDD https://t.co/U9tBUu",
Sun Apr 08 16:41:20 +0000 2018,faizakhtar105,"RT @virendersehwag: Rahul, naam toh suna hi hoga. Amazing hitting, and a 14 ball half century. Well begun boys #KXIPvDD https://t.co/U9tBUu",
Sun Apr 08 16:41:24 +0000 2018,Malik5nawaz,"RT @amer_gardazi: Pakistani young man replied to Pakistani women those demanding extra fre... https://t.co/Yblnbt2uMV via @YouTube
#PTIRawa",
Sun Apr 08 16:41:28 +0000 2018,taran_p1,"RT @lionsdenkxip: And that's it.

@MStoinis calmly gets the 1run required to hand the Kings a well-deserved win with 7balls remaining and",Pacific Time (US & Canada)
Sun Apr 08 16:41:33 +0000 2018,GiriAakula,"RT @virendersehwag: Rahul, naam toh suna hi hoga. Amazing hitting, and a 14 ball half century. Well begun boys #KXIPvDD https://t.co/U9tBUu",
Sun Apr 08 16:41:36 +0000 2018,vel_jaya,"RT @Atheist_Krishna: Yuvraj ka time sahi nahi chal raha, phir chahe wo

Yuvi ho, 
Rahul Gandhi ho,
yaa Salman Khan

#KXIPvDD",
Sun Apr 08 16:41:38 +0000 2018,Divedi_Aditya_,RT @SinhaPuroo:   @virendersehwag     https://t.co/9dIL3J9utn,
Sun Apr 08 16:41:40 +0000 2018,Priyank64639098,"RT @AnkitSh47199843: ##KXIPvDD
#
                ",
Sun Apr 08 16:41:45 +0000 2018,D_Jr007,RT @googlydevi: @bhogleharsha @klrahul11 toh already knew ki unko kahan batting karni hai. Tabhi toh fastest 50 bana liye! #KXIPvDD,
Sun Apr 08 16:41:46 +0000 2018,agrwal_akhil,"RT @india_se_hu: Kuchh logo ka to bas nhi chalta nhi to Dhoni,Yuvraj,Gambhir Sabko retire karvake,
Ek apni khud ki team banakar utar jayein",
Sun Apr 08 16:41:48 +0000 2018,Rajesh_waran31,"RT @virendersehwag: Rahul, naam toh suna hi hoga. Amazing hitting, and a 14 ball half century. Well begun boys #KXIPvDD https://t.co/U9tBUu",
Sun Apr 08 16:41:49 +0000 2018,Vijayy84,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:41:49 +0000 2018,LeelaDasi1,"RT @Payaldubey19: #KXIPvDD
#
ques.   ,              ,
Ans.  ,  ",
Sun Apr 08 16:41:51 +0000 2018,NautiyalG1,"RT @CricketTalkies: Afghanistan's Mujeeb Zadran is the youngest player to appear in IPL, at age of 17 years &amp; 11 days
Sarfaraz Khan (17y, 1",
Sun Apr 08 16:41:57 +0000 2018,NarendraModi277,"RT @ShreyalSingh: #ManikaBatra        
      

    
#GC",
Sun Apr 08 16:41:58 +0000 2018,charpaldas,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:42:00 +0000 2018,PakistaniNews15,"#PTIRawalpindiCampaign , #JI_YouthConventionPunjab #PashtunLongMarch2Peshawar #NationalAssembly #KXIPvDD https://t.co/usFvLDx7ZL",Pacific Time (US & Canada)
Sun Apr 08 16:42:01 +0000 2018,Razan7245,"#KXIPvDD

Wonderful song and very close to the heart .",
Sun Apr 08 16:42:01 +0000 2018,rks196,"RT @IndiaToday: #KXIPvDD: @klrahul11, who scored the fastest IPL half-century, was named man-of-the-match as KXIP beat Delhi Daredevils.
(v",New Delhi
Sun Apr 08 16:42:01 +0000 2018,HariomDass9,"RT @Dineshdass6: #KXIPvDD
# 
                  7.30",
Sun Apr 08 16:42:02 +0000 2018,prashantrathi08,"RT @shekharchahal: #  # """"     

    ""Youth_Icon"" @RahulGandhi """"  """" ",New Delhi
Sun Apr 08 16:42:04 +0000 2018,ChandniGovind,RT @SirJadeja: 36th #IPL Half Century For Gautam Gambhir. Gambhir Inning By The Captain. #IPL2018 #KXIPvDD #IPL11 https://t.co/ysPuwnGF,
Sun Apr 08 16:42:05 +0000 2018,MaheshK52152268,"RT @AjayDas36118496: ##KXIPvDD
#
                ",
Sun Apr 08 16:42:05 +0000 2018,goyalkumar987,               #KKRvRCB #KXIPvDD #MIvCSK https://t.co/5Oe7Usqqss,
Sun Apr 08 16:42:06 +0000 2018,dcchoudhary197,"RT @india_se_hu: Kuchh logo ka to bas nhi chalta nhi to Dhoni,Yuvraj,Gambhir Sabko retire karvake,
Ek apni khud ki team banakar utar jayein",
Sun Apr 08 16:42:07 +0000 2018,bharatdesh_prem,PROUD https://t.co/V7rTlHNsxi,Pacific Time (US & Canada)
Sun Apr 08 16:42:01 +0000 2018,HariomDass9,"RT @sandya_mehra: #KXIPvDD
#BajrangiTwitter
#
                  ",
Sun Apr 08 16:42:13 +0000 2018,Vijayy84,"RT @SandhyaMehra5: #KXIPvDD
#__
#
   ,   
   ,  
",
Sun Apr 08 16:42:13 +0000 2018,Billainiyan007,"RT @virendersehwag: Rahul, naam toh suna hi hoga. Amazing hitting, and a 14 ball half century. Well begun boys #KXIPvDD https://t.co/U9tBUu",
Sun Apr 08 16:42:14 +0000 2018,charpaldas,"RT @Rajudashtn2: #KXIPvDD
#ipl11
#

  4  34 ,
    40  10       ",
Sun Apr 08 16:42:14 +0000 2018,Malik5nawaz,"RT @DailyQudrat: https://t.co/UEEs0pwuZv
#ModelTownMassacre
#PashtunLongMarch2Peshawar
#PTIRawalpindiCampaign
#KXIPvDD
#ModelTownMassacre
#",
Sun Apr 08 16:42:16 +0000 2018,Ram_sadguru,"RT @Visu_social: #SundayMorning      #IPL2018, #KXIPvDD #KKRvRCB  tags ,           ",
Sun Apr 08 16:42:17 +0000 2018,MaheshK52152268,"RT @sandya_mehra: #KXIPvDD
#
                  ",
Sun Apr 08 16:42:19 +0000 2018,AromaSilicon,"Narine is a nightmare for #RCB 

https://t.co/4yp2EKhD1K

#KXIPvDD #KKRvRCB #BESTvsBEST  
#MIvCSK #SRHvsRR #IPL2018 https://t.co/pnhp5ZhkuK",Chennai
Sun Apr 08 16:42:19 +0000 2018,mg_IIT_Delhi,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:42:23 +0000 2018,PreityZintaPeru,New pictures: #PreityZinta at the  match of  #KXIPvDD (1) https://t.co/a32KNosVNw,Eastern Time (US & Canada)
Sun Apr 08 16:42:23 +0000 2018,LeelaDasi1,"RT @naveen2912016: #KKRvRCB 
#
Do You Know ???
what benefits do you get from the complete divine worship?
Know 
Watch Sadhna Tv 7:3",
Sun Apr 08 16:42:25 +0000 2018,Ghanshyam3080,"RT @sandya_mehra: #KXIPvDD
#
                  ",
Sun Apr 08 16:42:25 +0000 2018,Minaxi30284236,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:42:30 +0000 2018,pulipatisairams,"RT @lionsdenkxip: Fastest 50 in Vivo @IPL 
Perfect start to the 2nd innings 
Man of the match 

#KXIPvDD #LivePunjabiPlayPunjabi https",
Sun Apr 08 16:42:31 +0000 2018,DailyQudrat,"https://t.co/wigX2MpE3y
#ModelTownMassacre
#PashtunLongMarch2Peshawar
#PTIRawalpindiCampaign
#KXIPvDD https://t.co/SEX2ZgukkI",Karachi
Sun Apr 08 16:42:35 +0000 2018,abeer_balkhi,"RT @HudhudChat: Would You Like to Convert to #Islam?

Kindly, Chat with us now to get live #help at: https://t.co/5dqoBadS8N

#HudhudChat #",
Sun Apr 08 16:42:36 +0000 2018,LeelaDasi1,"RT @Visu_social: #SundayMorning      #IPL2018, #KXIPvDD #KKRvRCB  tags ,           ",
Sun Apr 08 16:42:37 +0000 2018,imsamyualgam,"RT @DelhiDaredevils: It was a tough loss, but there were some positive highlights. Here are some of the best snaps from the #KXIPvDD encoun",
Sun Apr 08 16:42:37 +0000 2018,Shifakhan2507,"RT @ShivikaFc: @SurbhiChandna at Mohali stadium
with the lucky winners of STAR Plus Dekho VIVO IPL Jao contest..!
#VIVOIPLonStar #KXIPvDD",
Sun Apr 08 16:42:37 +0000 2018,PZUniverse,"RT @hrnurtweets: My fav moment of #KXIPvDD apart from #KXIP s win! 
Spotting my fav @realpreityzinta 
#IPL2018 #IPL 
Wish I could meet her",Jakarta
Sun Apr 08 16:42:44 +0000 2018,SumitKu65097156,RT @MohammadKaif: KL Rahul really put it beyond the Daredevils with that blistering 14 ball 50. Good beginning for Ashwin the captain. #KXI,
Sun Apr 08 16:42:46 +0000 2018,Vijayy84,"RT @Sandhya510: #KXIPvDD
# 
    16   23                ",
Sun Apr 08 16:42:46 +0000 2018,sumanta1968,"RT @CricketTalkies: Afghanistan's Mujeeb Zadran is the youngest player to appear in IPL, at age of 17 years &amp; 11 days
Sarfaraz Khan (17y, 1",
Sun Apr 08 16:42:51 +0000 2018,mujalde_skharam,RT @mahendradas112: #KXIPvDD                    ,
Sun Apr 08 16:42:54 +0000 2018,SumitKu65097156,RT @rpsingh: A sensational innings from @klrahul11 today. Took the game away from @DelhiDaredevils right from the start. Well done @lionsde,
Sun Apr 08 16:42:57 +0000 2018,goyalkumar987,@SirJadeja                #KKRvRCB https://t.co/HCBGlkmYN8,
Sun Apr 08 16:42:57 +0000 2018,nandy_off2,"RT @lionsdenkxip: Here are some of our happy moments from the day 

Tell us about yours in the comments 

#50DaysOfKXIP #LivePunjabiPlayP",
Sun Apr 08 16:43:00 +0000 2018,TejkaurSidhu4,RT @Umaiyya44: And our precious #Annika presented the @starplus nayi soch award to Ashwin! INSANELY PROUD moment for all #Surbhians gahhh!,
Sun Apr 08 16:43:03 +0000 2018,raokajal87,"Though we travel the world over to find the beautiful, we must carry it with us or we find it not.
Which is a safe https://t.co/l1RhcZr6lT",
Sun Apr 08 16:43:05 +0000 2018,nandy_off2,"RT @DelhiDaredevils: #DilliKaKaptaan @GautamGambhir scored a fiery half-century in our first game of the VIVO @IPL 2018, in the process equ",
Sun Apr 08 16:43:08 +0000 2018,Mahendr21622933,"RT @VishaliMehra: #KXIPvDD # 
                     ",
